CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount
150631,1,0,Phone,1,,CC,Male,3,4,Mobile,1,Single,7,1,13,1,1,0,124
150632,1,13,Phone,1,,COD,Female,,4,Mobile,3,Married,2,0,11,1,1,4,127
150633,1,0,Phone,1,,CC,Female,2,4,Mobile,4,Married,5,1,17,1,2,0,123
150634,1,,Phone,1,,COD,Female,3,3,Mobile,1,Married,3,0,12,2,2,0,123
150635,1,0,Phone,1,,CC,Male,2,3,Mobile,2,Single,6,1,13,1,1,4,124
150636,1,0,Phone,1,6,COD,Male,,1,Mobile,3,Single,2,0,15,5,7,8,127
150637,1,0,Phone,1,10,COD,Male,,3,Mobile,5,Single,2,0,19,1,1,0,130
150638,1,,Computer,1,,CC,Female,3,3,Mobile,5,Single,2,1,22,2,2,2,123
150639,1,0,Phone,1,,Debit Card,Male,2,4,Mobile,1,Single,2,1,24,0,1,0,124
150640,1,2,Phone,1,,CC,Male,3,3,Mobile,2,Divorced,8,0,13,1,2,2,124
150641,1,0,Computer,1,,CC,Male,2,4,Mobile,3,Divorced,5,0,12,1,2,2,123
150642,1,0,Phone,3,6,CC,Female,,3,Mobile,3,Married,2,1,19,1,1,0,129
150643,1,0,Phone,3,16,E wallet,Male,,3,Mobile,4,Single,2,0,14,2,2,2,128
150644,1,,Computer,1,,Debit Card,Male,2,5,Mobile,3,Married,2,1,12,2,2,0,123
150645,1,20,Phone,1,,Debit Card,Male,2,3,Mobile,3,Married,5,1,16,1,1,0,125
150646,1,0,Phone,1,14,Debit Card,Male,,4,Mobile,4,Single,2,0,12,0,1,4,129
150647,1,7,Phone,1,,Debit Card,Male,2,3,Mobile,3,Single,5,0,20,1,1,2,124
150648,1,0,Phone,1,16,CC,Male,3,3,Mobile,1,Married,1,0,13,0,1,0,134
150649,1,0,Computer,1,22,COD,Male,,4,Mobile,5,Married,1,1,23,0,1,4,131
150650,1,0,Phone,2,13,UPI,Male,,3,Mobile,5,Married,2,1,23,1,1,0,127
150651,1,0,Computer,3,,COD,Male,2,1,Mobile,5,Single,4,0,21,0,1,3,124
150652,1,,Phone,1,9,Debit Card,Male,3,5,Mobile,2,Single,2,0,23,0,1,7,121
150653,1,0,Phone,1,14,UPI,Female,3,3,Mobile,5,Married,2,1,11,0,1,0,124
150654,1,0,Phone,1,15,CC,Female,3,4,Mobile,3,Married,1,1,17,0,1,0,134
150655,1,0,Phone,1,,Debit Card,Female,2,4,Mobile,1,Single,2,1,24,1,1,0,126
150656,1,0,Phone,1,13,COD,Male,2,3,Mobile,3,Married,2,1,13,0,2,2,134
150657,1,,Computer,2,28,UPI,Female,3,3,Mobile,3,Married,2,0,11,0,1,0,123
150658,1,19,Phone,1,,Debit Card,Female,3,3,Mobile,3,Single,2,0,20,0,1,0,126
150659,1,4,Mobile Phone,3,17,E wallet,Male,3,5,Fashion,2,Married,4,0,18,2,2,,216
150660,1,0,Phone,1,31,Debit Card,Female,,4,Mobile,1,Single,7,1,24,1,1,2,129
150661,1,4,Phone,1,36,Credit Card,Male,,5,Mobile,3,Married,5,1,23,0,1,0,128
150662,1,1,Computer,3,7,COD,Male,4,5,Mobile Phone,5,Single,3,0,22,2,2,3,147
150663,1,,Mobile Phone,3,8,E wallet,Male,3,3,Mobile Phone,4,Single,2,1,12,1,1,0,117
150664,1,0,Computer,1,35,CC,Female,3,5,Mobile,4,Single,1,0,11,1,1,0,123
150665,1,0,Phone,1,7,Debit Card,Female,,3,Mobile,5,Married,2,1,12,1,1,0,129
150666,1,0,Phone,3,8,E wallet,Female,,4,Mobile,4,Single,2,1,12,1,1,2,131
150667,1,0,Phone,1,13,Debit Card,Female,,3,Mobile,5,Single,2,1,14,0,1,0,128
150668,1,0,Computer,1,15,CC,Female,,3,Mobile,5,Single,1,1,11,0,1,4,135
150669,1,1,Mobile Phone,2,9,COD,Male,4,4,Mobile Phone,3,Single,3,0,16,2,2,1,152
150670,1,20,Phone,1,,COD,Female,2,3,Mobile,3,Married,5,0,11,1,1,0,125
150671,1,,Phone,1,12,Debit Card,Male,2,3,Mobile,1,Single,6,1,18,0,1,3,121
150672,1,1,Phone,3,28,UPI,Male,4,6,Mobile Phone,4,Single,9,1,14,2,4,8,147
150673,1,0,Phone,1,6,Cash on Delivery,Male,3,3,Mobile,3,Single,2,0,14,1,1,0,123
150674,1,,Computer,1,8,Debit Card,Male,3,3,Mobile,1,Married,2,1,13,6,7,8,120
150675,1,1,Phone,1,7,COD,Female,4,4,Mobile Phone,5,Single,3,1,14,2,2,1,144
150676,1,1,Phone,1,14,COD,Female,3,5,Mobile Phone,3,Married,7,0,12,2,2,4,145
150677,1,7,Phone,1,8,Debit Card,Female,3,5,Mobile,5,Married,2,1,12,1,2,2,135
150678,1,4,Phone,1,35,Debit Card,Female,,3,Mobile,4,Divorced,5,1,12,0,1,0,128
150679,1,12,Mobile Phone,3,22,E wallet,Male,2,3,Fashion,5,Single,2,0,15,0,7,7,177
150680,1,0,Computer,1,9,Debit Card,Female,,3,Mobile,2,Married,2,0,12,0,1,0,129
150681,1,0,Computer,3,16,Debit Card,Male,,3,Mobile,4,Married,8,0,21,0,1,0,128
150682,1,0,Mobile Phone,3,29,E wallet,Male,3,3,Fashion,3,Single,3,0,20,0,1,0,182
150683,1,1,Computer,1,16,Credit Card,Male,4,4,Fashion,5,Single,8,1,12,2,2,,225
150684,1,1,Computer,3,7,COD,Female,4,4,Mobile Phone,5,Single,3,0,22,2,2,3,148
150685,1,,Computer,1,31,Debit Card,Male,3,3,Mobile,4,Married,2,1,19,0,7,8,120
